"","Rank","Team","Points","ID"
"576","34","Massachusetts Institute of Technology","337",917
"577","35","University of Wisconsin","331",917
"578","36","University of Rhode Island","330",917
"579","37","Southern Methodist University","319",917
"580","38","University of Tulsa","316",917
"581","39","University of Oklahoma","312",917
"582","40","Michigan State University","306",917
"583","41","University of Louisville","296",917
"584","41","University of Kansas","296",917
"585","43","Boston College","294",917
"586","44","George Washington University","292",917
"587","45","United States Naval Academy","288",917
"588","46","University of California – San Diego","287",917
"589","47","University of North Carolina at Chapel Hill","281",917
"590","48","Kansas State University","259",917
"591","48","University of San Diego","259",917
"592","50","Jacksonville University","251",917
"593","51","University of Massachusetts – Amherst","249",917
"594","52","Georgetown University","248",917
"595","53","California State University – Sacramento","240",917
"596","54","Cornell University","236",917
"597","55","College of the Holy Cross","233",917
"598","56","Bucknell University","225",917
"599","57","Sacred Heart University","202",917
"600","58","Fordham University","195",917
"601","59","Temple University","193",917
"602","60","Saint Joseph's University","187",917
"603","60","Drexel University","187",917
"604","62","Loyola Marymount University","177",917
"605","63","University of Connecticut","162",917
"606","64","La Salle University","158",917
"607","65","West Virginia University","154",917
"608","66","Duquesne University","148",917
"609","67","University of Delaware","138",917
"610","67","Marist College","138",917
"611","69","University of Portland","135",917
"612","70","Fairfield University","132",917
"613","71","Old Dominion University","126",917
"614","72","Villanova University","124",917
"615","73","Stetson University","123",917
"616","74","Lehigh University","120",917
"617","75","Creighton University","116",917
"618","75","Eastern Michigan University","116",917
"619","77","Colgate University","109",917
"620","78","Saint Mary’s College of California","104",917
"621","79","Canisius College","84",917
"622","80","Robert Morris University – Pennsylvania","69",917
"623","80","George Mason University","69",917
"624","82","Loyola University Maryland","65",917
"625","83","Seattle University","64",917
"626","84","University of Dayton","53",917
"627","85","Merrimack College","50",917
"628","86","Iona College","45",917
"629","87","Drake University","30",917
"630","88","Santa Clara University","25",917
"631","89","Manhattan College","5",917
"632","Rank","School Name","Points",909
"633","1","University of Texas – Austin","544",909
"634","2","Stanford University","535",909
"635","3","University of Tennessee","533",909
"636","4","Princeton University","529",909
"637","5","Brown University","520",909
"638","6","University of California – Berkley","514",909
"639","7","Yale University","511",909
"640","8","University of Washington","496",909
"641","9","University of Michigan","491",909
"642","10","University of Pennsylvania","486",909
"643","11","Syracuse University","485",909
"644","12","Ohio State University","484",909
"645","13","Rutgers University","473",909
"646","14","Indiana University","470",909
"647","15","Duke University","468",909
"648","16","Harvard-Radcliffe","448",909
"649","17","University of Virginia","446",909
"650","18","University of Alabama","436",909
"651","18","Columbia University","436",909
"652","20","University of Miami","419",909
"653","21","Gonzaga University","414",909
"654","22","University of California – Los Angeles","404",909
"655","23","Washington State University","402",909
"656","24","University of Minnesota","398",909
"657","25","University of Central Florida","397",909
"658","26","Oregon State University","395",909
"659","27","Northeastern University","389",909
"660","28","University of Southern California","385",909
"661","29","University of Iowa","379",909
"662","29","Clemson University","379",909
"663","31","University of Notre Dame","378",909
"664","32","Boston University","367",909
"665","33","Dartmouth College","354",909
"666","34","Massachusetts Institute of Technology","337",909
"667","35","University of Wisconsin","331",909
"668","36","University of Rhode Island","330",909
"669","37","Southern Methodist University","319",909
"670","38","University of Tulsa","316",909
"671","39","University of Oklahoma","312",909
"672","40","Michigan State University","306",909
"673","41","University of Louisville","296",909
"674","41","University of Kansas","296",909
"675","43","Boston College","294",909
"676","44","George Washington University","292",909
"677","45","United States Naval Academy","288",909
"678","46","University of California – San Diego","287",909
"679","47","University of North Carolina at Chapel Hill","281",909
"680","48","Kansas State University","259",909
"681","48","University of San Diego","259",909
"682","50","Jacksonville University","251",909
"683","51","University of Massachusetts – Amherst","249",909
"684","52","Georgetown University","248",909
"685","53","California State University – Sacramento","240",909
"686","54","Cornell University","236",909
"687","55","College of the Holy Cross","233",909
"688","56","Bucknell University","225",909
"689","57","Sacred Heart University","202",909
"690","58","Fordham University","195",909
"691","59","Temple University","193",909
"692","60","Saint Joseph's University","187",909
"693","60","Drexel University","187",909
"694","62","Loyola Marymount University","177",909
"695","63","University of Connecticut","162",909
"696","64","La Salle University","158",909
"697","65","West Virginia University","154",909
"698","66","Duquesne University","148",909
"699","67","University of Delaware","138",909
"700","67","Marist College","138",909
"701","69","University of Portland","135",909
"702","70","Fairfield University","132",909
"703","71","Old Dominion University","126",909
"704","72","Villanova University","124",909
"705","73","Stetson University","123",909
"706","74","Lehigh University","120",909
"707","75","Creighton University","116",909
"708","75","Eastern Michigan University","116",909
"709","77","Colgate University","109",909
"710","78","Saint Mary’s College of California","104",909
"711","79","Canisius College","84",909
"712","80","Robert Morris University – Pennsylvania","69",909
"713","80","George Mason University","69",909
"714","82","Loyola University Maryland","65",909
"715","83","Seattle University","64",909
"716","84","University of Dayton","53",909
"717","85","Merrimack College","50",909
"718","86","Iona College","45",909
"719","87","Drake University","30",909
"720","88","Santa Clara University","25",909
"721","89","Manhattan College","5",909
"722","Rank","School Name","Points",891
"723","1","University of Texas – Austin","544",891
"724","2","Stanford University","535",891
"725","3","University of Tennessee","533",891
"726","4","Princeton University","529",891
"727","5","Brown University","520",891
"728","6","University of California – Berkley","514",891
"729","7","Yale University","511",891
"730","8","University of Washington","496",891
"731","9","University of Michigan","491",891
"732","10","University of Pennsylvania","486",891
"733","11","Syracuse University","485",891
"734","12","Ohio State University","484",891
"735","13","Rutgers University","473",891
"736","14","Indiana University","470",891
"737","15","Duke University","468",891
"738","16","Harvard-Radcliffe","448",891
"739","17","University of Virginia","446",891
"740","18","University of Alabama","436",891
"741","18","Columbia University","436",891
"742","20","University of Miami","419",891
"743","21","Gonzaga University","414",891
"744","22","University of California – Los Angeles","404",891
"745","23","Washington State University","402",891
"746","24","University of Minnesota","398",891
"747","25","University of Central Florida","397",891
"748","26","Oregon State University","395",891
"749","27","Northeastern University","389",891
"750","28","University of Southern California","385",891
"751","29","University of Iowa","379",891
"752","29","Clemson University","379",891
"753","31","University of Notre Dame","378",891
"754","32","Boston University","367",891
"755","33","Dartmouth College","354",891
"756","34","Massachusetts Institute of Technology","337",891
"757","35","University of Wisconsin","331",891
"758","36","University of Rhode Island","330",891
"759","37","Southern Methodist University","319",891
"760","38","University of Tulsa","316",891
"761","39","University of Oklahoma","312",891
"762","40","Michigan State University","306",891
"763","41","University of Louisville","296",891
"764","41","University of Kansas","296",891
"765","43","Boston College","294",891
"766","44","George Washington University","292",891
"767","45","United States Naval Academy","288",891
"768","46","University of California – San Diego","287",891
"769","47","University of North Carolina at Chapel Hill","281",891
"770","48","Kansas State University","259",891
"771","48","University of San Diego","259",891
"772","50","Jacksonville University","251",891
"773","51","University of Massachusetts – Amherst","249",891
"774","52","Georgetown University","248",891
"775","53","California State University – Sacramento","240",891
"776","54","Cornell University","236",891
"777","55","College of the Holy Cross","233",891
"778","56","Bucknell University","225",891
"779","57","Sacred Heart University","202",891
"780","58","Fordham University","195",891
"781","59","Temple University","193",891
"782","60","Saint Joseph's University","187",891
"783","60","Drexel University","187",891
"784","62","Loyola Marymount University","177",891
"785","63","University of Connecticut","162",891
"786","64","La Salle University","158",891
"787","65","West Virginia University","154",891
"788","66","Duquesne University","148",891
"789","67","University of Delaware","138",891
"790","67","Marist College","138",891
"791","69","University of Portland","135",891
"792","70","Fairfield University","132",891
"793","71","Old Dominion University","126",891
"794","72","Villanova University","124",891
"795","73","Stetson University","123",891
"796","74","Lehigh University","120",891
"797","75","Creighton University","116",891
"798","75","Eastern Michigan University","116",891
"799","77","Colgate University","109",891
"800","78","Saint Mary’s College of California","104",891
"801","79","Canisius College","84",891
"802","80","Robert Morris University – Pennsylvania","69",891
"803","80","George Mason University","69",891
"804","82","Loyola University Maryland","65",891
"805","83","Seattle University","64",891
"806","84","University of Dayton","53",891
"807","85","Merrimack College","50",891
"808","86","Iona College","45",891
"809","87","Drake University","30",891
"810","88","Santa Clara University","25",891
"811","89","Manhattan College","5",891
"812","Rank","School Name","Points",865
"813","1","University of Texas – Austin","544",865
"814","2","Stanford University","535",865
"815","3","University of Tennessee","533",865
"816","4","Princeton University","529",865
"817","5","Brown University","520",865
"818","6","University of California – Berkley","514",865
"819","7","Yale University","511",865
"820","8","University of Washington","496",865
"821","9","University of Michigan","491",865
"822","10","University of Pennsylvania","486",865
"823","11","Syracuse University","485",865
"824","12","Ohio State University","484",865
"825","13","Rutgers University","473",865
"826","14","Indiana University","470",865
"827","15","Duke University","468",865
"828","16","Harvard-Radcliffe","448",865
"829","17","University of Virginia","446",865
"830","18","University of Alabama","436",865
"831","18","Columbia University","436",865
